| end of epoch   1 | time: 42.56s | valid loss 22.43 | valid ppl 5497088704.77
| end of epoch   2 | time: 42.42s | valid loss 30.94 | valid ppl 27399913344555.36
| end of epoch   3 | time: 42.48s | valid loss  8.29 | valid ppl  3978.29
| end of epoch   4 | time: 42.64s | valid loss  8.05 | valid ppl  3119.57
| end of epoch   5 | time: 42.69s | valid loss  7.71 | valid ppl  2226.48
| end of epoch   6 | time: 42.70s | valid loss  6.91 | valid ppl  1002.89
| end of epoch   7 | time: 42.69s | valid loss  6.56 | valid ppl   704.62
| end of epoch   8 | time: 42.70s | valid loss  6.54 | valid ppl   691.02
| end of epoch   9 | time: 42.76s | valid loss  6.32 | valid ppl   553.27
| end of epoch  10 | time: 42.72s | valid loss  6.12 | valid ppl   457.12
| end of epoch  11 | time: 42.76s | valid loss  5.90 | valid ppl   364.28
| end of epoch  12 | time: 42.77s | valid loss  5.93 | valid ppl   375.13
| end of epoch  13 | time: 42.72s | valid loss  5.62 | valid ppl   275.79
| end of epoch  14 | time: 42.73s | valid loss  5.60 | valid ppl   269.10
| end of epoch  15 | time: 42.72s | valid loss  5.57 | valid ppl   262.85
| end of epoch  16 | time: 42.72s | valid loss  5.56 | valid ppl   259.88
| end of epoch  17 | time: 42.72s | valid loss  5.54 | valid ppl   254.28
| end of epoch  18 | time: 42.74s | valid loss  5.53 | valid ppl   251.20
| end of epoch  19 | time: 42.74s | valid loss  5.50 | valid ppl   245.44
| end of epoch  20 | time: 42.70s | valid loss  5.49 | valid ppl   242.58
| end of epoch  21 | time: 42.71s | valid loss  5.48 | valid ppl   238.69
| end of epoch  22 | time: 42.72s | valid loss  5.46 | valid ppl   236.20
| end of epoch  23 | time: 42.75s | valid loss  5.45 | valid ppl   232.55
| end of epoch  24 | time: 42.76s | valid loss  5.45 | valid ppl   232.80
| end of epoch  25 | time: 42.72s | valid loss  5.38 | valid ppl   216.55
| end of epoch  26 | time: 42.78s | valid loss  5.37 | valid ppl   214.69
| end of epoch  27 | time: 42.74s | valid loss  5.37 | valid ppl   214.08
| end of epoch  28 | time: 42.73s | valid loss  5.37 | valid ppl   214.67
| end of epoch  29 | time: 42.68s | valid loss  5.35 | valid ppl   210.07
| end of epoch  30 | time: 42.79s | valid loss  5.35 | valid ppl   209.58
| end of epoch  31 | time: 42.74s | valid loss  5.34 | valid ppl   209.21
| end of epoch  32 | time: 42.74s | valid loss  5.34 | valid ppl   209.00
| end of epoch  33 | time: 42.72s | valid loss  5.34 | valid ppl   208.79
| end of epoch  34 | time: 42.73s | valid loss  5.34 | valid ppl   209.07
| end of epoch  35 | time: 42.69s | valid loss  5.33 | valid ppl   206.38
| end of epoch  36 | time: 42.69s | valid loss  5.33 | valid ppl   206.17
| end of epoch  37 | time: 42.72s | valid loss  5.33 | valid ppl   206.42
| end of epoch  38 | time: 42.70s | valid loss  5.32 | valid ppl   205.32
| end of epoch  39 | time: 42.77s | valid loss  5.32 | valid ppl   205.23
| end of epoch  40 | time: 42.75s | valid loss  5.32 | valid ppl   205.26
