| end of epoch   1 | time: 42.64s | valid loss 22.68 | valid ppl 7100356940.19
| end of epoch   2 | time: 42.30s | valid loss 22.57 | valid ppl 6340989931.52
| end of epoch   3 | time: 42.37s | valid loss 27.69 | valid ppl 1065653578888.28
| end of epoch   4 | time: 42.33s | valid loss 10.43 | valid ppl 34017.66
| end of epoch   5 | time: 42.38s | valid loss 10.05 | valid ppl 23080.93
| end of epoch   6 | time: 42.38s | valid loss 10.32 | valid ppl 30228.65
| end of epoch   7 | time: 42.35s | valid loss  7.99 | valid ppl  2958.05
| end of epoch   8 | time: 42.39s | valid loss  7.88 | valid ppl  2640.15
| end of epoch   9 | time: 42.38s | valid loss  7.73 | valid ppl  2274.57
| end of epoch  10 | time: 42.39s | valid loss  7.70 | valid ppl  2211.77
| end of epoch  11 | time: 42.37s | valid loss  7.65 | valid ppl  2098.32
| end of epoch  12 | time: 42.35s | valid loss  7.47 | valid ppl  1759.64
| end of epoch  13 | time: 42.39s | valid loss  7.52 | valid ppl  1851.70
| end of epoch  14 | time: 42.32s | valid loss  7.33 | valid ppl  1522.42
| end of epoch  15 | time: 42.37s | valid loss  7.31 | valid ppl  1499.89
| end of epoch  16 | time: 42.36s | valid loss  7.30 | valid ppl  1477.90
| end of epoch  17 | time: 42.35s | valid loss  7.28 | valid ppl  1457.19
| end of epoch  18 | time: 42.34s | valid loss  7.27 | valid ppl  1438.31
| end of epoch  19 | time: 42.34s | valid loss  7.26 | valid ppl  1421.32
| end of epoch  20 | time: 42.36s | valid loss  7.25 | valid ppl  1405.02
| end of epoch  21 | time: 42.33s | valid loss  7.24 | valid ppl  1389.07
| end of epoch  22 | time: 42.34s | valid loss  7.23 | valid ppl  1376.28
| end of epoch  23 | time: 42.36s | valid loss  7.22 | valid ppl  1360.95
| end of epoch  24 | time: 42.35s | valid loss  7.19 | valid ppl  1325.43
| end of epoch  25 | time: 42.36s | valid loss  7.18 | valid ppl  1313.26
| end of epoch  26 | time: 42.36s | valid loss  7.17 | valid ppl  1299.51
| end of epoch  27 | time: 42.34s | valid loss  7.16 | valid ppl  1288.27
| end of epoch  28 | time: 42.35s | valid loss  7.15 | valid ppl  1275.49
| end of epoch  29 | time: 42.35s | valid loss  7.14 | valid ppl  1264.92
| end of epoch  30 | time: 42.41s | valid loss  7.13 | valid ppl  1254.36
| end of epoch  31 | time: 42.37s | valid loss  7.13 | valid ppl  1244.72
| end of epoch  32 | time: 42.42s | valid loss  7.12 | valid ppl  1235.87
| end of epoch  33 | time: 42.36s | valid loss  7.11 | valid ppl  1225.60
| end of epoch  34 | time: 42.37s | valid loss  7.11 | valid ppl  1218.22
| end of epoch  35 | time: 42.34s | valid loss  7.10 | valid ppl  1209.58
| end of epoch  36 | time: 42.38s | valid loss  7.09 | valid ppl  1202.28
| end of epoch  37 | time: 42.36s | valid loss  7.09 | valid ppl  1195.42
| end of epoch  38 | time: 42.37s | valid loss  7.08 | valid ppl  1187.77
| end of epoch  39 | time: 42.35s | valid loss  7.07 | valid ppl  1180.36
| end of epoch  40 | time: 42.37s | valid loss  7.07 | valid ppl  1173.69
