| end of epoch   1 | time: 42.53s | valid loss 49.41 | valid ppl 2864474075122131009536.00
| end of epoch   2 | time: 42.31s | valid loss 77.25 | valid ppl 3543590218515464509330740771553280.00
| end of epoch   3 | time: 42.28s | valid loss  9.53 | valid ppl 13698.10
| end of epoch   4 | time: 42.41s | valid loss 14.96 | valid ppl 3152531.57
| end of epoch   5 | time: 42.33s | valid loss  7.22 | valid ppl  1372.95
| end of epoch   6 | time: 42.36s | valid loss  7.30 | valid ppl  1483.36
| end of epoch   7 | time: 42.30s | valid loss  6.97 | valid ppl  1064.21
| end of epoch   8 | time: 42.37s | valid loss  6.97 | valid ppl  1065.16
| end of epoch   9 | time: 42.31s | valid loss  6.93 | valid ppl  1025.27
| end of epoch  10 | time: 42.36s | valid loss  6.93 | valid ppl  1025.14
| end of epoch  11 | time: 42.34s | valid loss  6.93 | valid ppl  1024.12
| end of epoch  12 | time: 42.36s | valid loss  6.93 | valid ppl  1024.47
| end of epoch  13 | time: 42.31s | valid loss  6.92 | valid ppl  1013.89
| end of epoch  14 | time: 42.37s | valid loss  6.92 | valid ppl  1013.32
| end of epoch  15 | time: 42.34s | valid loss  6.92 | valid ppl  1013.25
| end of epoch  16 | time: 42.35s | valid loss  6.92 | valid ppl  1013.11
| end of epoch  17 | time: 42.35s | valid loss  6.92 | valid ppl  1012.97
| end of epoch  18 | time: 42.35s | valid loss  6.92 | valid ppl  1012.95
| end of epoch  19 | time: 42.33s | valid loss  6.92 | valid ppl  1012.91
| end of epoch  20 | time: 42.34s | valid loss  6.92 | valid ppl  1013.06
| end of epoch  21 | time: 42.30s | valid loss  6.92 | valid ppl  1009.98
| end of epoch  22 | time: 42.41s | valid loss  6.92 | valid ppl  1009.72
| end of epoch  23 | time: 42.42s | valid loss  6.92 | valid ppl  1009.59
| end of epoch  24 | time: 42.37s | valid loss  6.92 | valid ppl  1009.47
| end of epoch  25 | time: 42.34s | valid loss  6.92 | valid ppl  1009.49
| end of epoch  26 | time: 42.30s | valid loss  6.92 | valid ppl  1007.57
| end of epoch  27 | time: 42.43s | valid loss  6.92 | valid ppl  1007.49
| end of epoch  28 | time: 42.36s | valid loss  6.92 | valid ppl  1007.44
| end of epoch  29 | time: 42.40s | valid loss  6.92 | valid ppl  1007.36
| end of epoch  30 | time: 42.41s | valid loss  6.92 | valid ppl  1007.35
| end of epoch  31 | time: 42.35s | valid loss  6.92 | valid ppl  1007.32
| end of epoch  32 | time: 42.35s | valid loss  6.92 | valid ppl  1007.35
| end of epoch  33 | time: 42.31s | valid loss  6.91 | valid ppl  1006.98
| end of epoch  34 | time: 42.35s | valid loss  6.91 | valid ppl  1006.89
| end of epoch  35 | time: 42.36s | valid loss  6.91 | valid ppl  1006.80
| end of epoch  36 | time: 42.37s | valid loss  6.91 | valid ppl  1006.75
| end of epoch  37 | time: 42.35s | valid loss  6.91 | valid ppl  1006.70
| end of epoch  38 | time: 42.35s | valid loss  6.91 | valid ppl  1006.63
| end of epoch  39 | time: 42.36s | valid loss  6.91 | valid ppl  1006.59
| end of epoch  40 | time: 42.35s | valid loss  6.91 | valid ppl  1006.55
