| end of epoch   1 | time: 42.57s | valid loss 70.22 | valid ppl 3139394751966856244765011214336.00
| end of epoch   2 | time: 42.38s | valid loss 18.32 | valid ppl 90106643.96
| end of epoch   3 | time: 42.33s | valid loss 26.72 | valid ppl 402498683542.71
| end of epoch   4 | time: 42.50s | valid loss  8.23 | valid ppl  3750.21
| end of epoch   5 | time: 42.64s | valid loss  7.84 | valid ppl  2549.21
| end of epoch   6 | time: 42.65s | valid loss  6.99 | valid ppl  1085.27
| end of epoch   7 | time: 42.71s | valid loss  6.48 | valid ppl   653.75
| end of epoch   8 | time: 42.72s | valid loss  6.50 | valid ppl   664.27
| end of epoch   9 | time: 42.67s | valid loss  5.98 | valid ppl   396.71
| end of epoch  10 | time: 42.69s | valid loss  5.92 | valid ppl   373.17
| end of epoch  11 | time: 42.71s | valid loss  5.87 | valid ppl   355.01
| end of epoch  12 | time: 42.67s | valid loss  5.83 | valid ppl   341.42
| end of epoch  13 | time: 42.70s | valid loss  5.80 | valid ppl   330.33
| end of epoch  14 | time: 42.68s | valid loss  5.76 | valid ppl   317.50
| end of epoch  15 | time: 42.71s | valid loss  5.73 | valid ppl   308.51
| end of epoch  16 | time: 42.68s | valid loss  5.70 | valid ppl   299.67
| end of epoch  17 | time: 42.70s | valid loss  5.68 | valid ppl   291.57
| end of epoch  18 | time: 42.69s | valid loss  5.64 | valid ppl   281.68
| end of epoch  19 | time: 42.73s | valid loss  5.63 | valid ppl   280.05
| end of epoch  20 | time: 42.74s | valid loss  5.61 | valid ppl   272.97
| end of epoch  21 | time: 42.72s | valid loss  5.61 | valid ppl   272.19
| end of epoch  22 | time: 42.73s | valid loss  5.57 | valid ppl   263.73
| end of epoch  23 | time: 42.73s | valid loss  5.54 | valid ppl   255.79
| end of epoch  24 | time: 42.75s | valid loss  5.53 | valid ppl   251.23
| end of epoch  25 | time: 42.73s | valid loss  5.52 | valid ppl   248.66
| end of epoch  26 | time: 42.71s | valid loss  5.50 | valid ppl   244.68
| end of epoch  27 | time: 42.71s | valid loss  5.48 | valid ppl   241.04
| end of epoch  28 | time: 42.72s | valid loss  5.48 | valid ppl   239.44
| end of epoch  29 | time: 42.73s | valid loss  5.45 | valid ppl   232.95
| end of epoch  30 | time: 42.73s | valid loss  5.45 | valid ppl   233.14
| end of epoch  31 | time: 42.69s | valid loss  5.36 | valid ppl   213.52
| end of epoch  32 | time: 42.72s | valid loss  5.36 | valid ppl   212.95
| end of epoch  33 | time: 42.74s | valid loss  5.36 | valid ppl   212.25
| end of epoch  34 | time: 42.73s | valid loss  5.36 | valid ppl   211.85
| end of epoch  35 | time: 42.74s | valid loss  5.35 | valid ppl   210.67
| end of epoch  36 | time: 42.71s | valid loss  5.35 | valid ppl   209.88
| end of epoch  37 | time: 42.70s | valid loss  5.34 | valid ppl   209.05
| end of epoch  38 | time: 42.73s | valid loss  5.34 | valid ppl   208.78
| end of epoch  39 | time: 42.74s | valid loss  5.34 | valid ppl   209.04
| end of epoch  40 | time: 42.69s | valid loss  5.31 | valid ppl   202.35
