| end of epoch   1 | time: 42.61s | valid loss 44.58 | valid ppl 23055106376161865728.00
| end of epoch   2 | time: 42.38s | valid loss 35.03 | valid ppl 1642416978111279.00
| end of epoch   3 | time: 42.46s | valid loss 68.07 | valid ppl 364885553185249263300403789824.00
| end of epoch   4 | time: 42.59s | valid loss  7.97 | valid ppl  2892.85
| end of epoch   5 | time: 42.76s | valid loss  7.05 | valid ppl  1158.08
| end of epoch   6 | time: 42.77s | valid loss  6.74 | valid ppl   842.15
| end of epoch   7 | time: 42.77s | valid loss  6.63 | valid ppl   759.51
| end of epoch   8 | time: 42.74s | valid loss  6.23 | valid ppl   508.70
| end of epoch   9 | time: 42.81s | valid loss  6.12 | valid ppl   452.80
| end of epoch  10 | time: 42.79s | valid loss  6.16 | valid ppl   472.08
| end of epoch  11 | time: 42.69s | valid loss  5.67 | valid ppl   289.81
| end of epoch  12 | time: 42.82s | valid loss  5.64 | valid ppl   280.81
| end of epoch  13 | time: 42.78s | valid loss  5.61 | valid ppl   273.93
| end of epoch  14 | time: 42.78s | valid loss  5.60 | valid ppl   269.62
| end of epoch  15 | time: 42.74s | valid loss  5.58 | valid ppl   264.12
| end of epoch  16 | time: 42.82s | valid loss  5.56 | valid ppl   259.43
| end of epoch  17 | time: 42.80s | valid loss  5.54 | valid ppl   255.02
| end of epoch  18 | time: 42.76s | valid loss  5.53 | valid ppl   251.37
| end of epoch  19 | time: 42.80s | valid loss  5.51 | valid ppl   246.71
| end of epoch  20 | time: 42.79s | valid loss  5.50 | valid ppl   244.63
| end of epoch  21 | time: 42.80s | valid loss  5.49 | valid ppl   241.79
| end of epoch  22 | time: 42.86s | valid loss  5.47 | valid ppl   238.13
| end of epoch  23 | time: 42.78s | valid loss  5.47 | valid ppl   238.35
| end of epoch  24 | time: 42.70s | valid loss  5.40 | valid ppl   221.11
| end of epoch  25 | time: 42.81s | valid loss  5.40 | valid ppl   220.53
| end of epoch  26 | time: 42.79s | valid loss  5.39 | valid ppl   219.36
| end of epoch  27 | time: 42.80s | valid loss  5.39 | valid ppl   218.35
| end of epoch  28 | time: 42.79s | valid loss  5.38 | valid ppl   218.09
| end of epoch  29 | time: 42.79s | valid loss  5.39 | valid ppl   219.34
| end of epoch  30 | time: 42.73s | valid loss  5.35 | valid ppl   210.90
| end of epoch  31 | time: 42.82s | valid loss  5.35 | valid ppl   210.57
| end of epoch  32 | time: 42.78s | valid loss  5.35 | valid ppl   210.42
| end of epoch  33 | time: 42.76s | valid loss  5.35 | valid ppl   209.89
| end of epoch  34 | time: 42.77s | valid loss  5.35 | valid ppl   209.87
| end of epoch  35 | time: 42.81s | valid loss  5.34 | valid ppl   209.54
| end of epoch  36 | time: 42.81s | valid loss  5.34 | valid ppl   209.53
| end of epoch  37 | time: 42.75s | valid loss  5.35 | valid ppl   209.72
| end of epoch  38 | time: 42.71s | valid loss  5.33 | valid ppl   206.11
| end of epoch  39 | time: 42.75s | valid loss  5.33 | valid ppl   205.67
| end of epoch  40 | time: 42.79s | valid loss  5.33 | valid ppl   205.83
