| end of epoch   1 | time: 42.61s | valid loss 25.71 | valid ppl 146557652374.68
| end of epoch   2 | time: 42.40s | valid loss 16.97 | valid ppl 23439603.54
| end of epoch   3 | time: 42.41s | valid loss 37.40 | valid ppl 17440571153207100.00
| end of epoch   4 | time: 42.43s | valid loss  8.43 | valid ppl  4586.70
| end of epoch   5 | time: 42.53s | valid loss  7.62 | valid ppl  2029.59
| end of epoch   6 | time: 42.70s | valid loss  7.15 | valid ppl  1275.14
| end of epoch   7 | time: 42.64s | valid loss  6.80 | valid ppl   893.78
| end of epoch   8 | time: 42.64s | valid loss  6.60 | valid ppl   733.65
| end of epoch   9 | time: 42.67s | valid loss  6.22 | valid ppl   504.94
| end of epoch  10 | time: 42.73s | valid loss  6.12 | valid ppl   455.95
| end of epoch  11 | time: 42.65s | valid loss  6.05 | valid ppl   425.75
| end of epoch  12 | time: 42.71s | valid loss  5.97 | valid ppl   390.17
| end of epoch  13 | time: 42.68s | valid loss  5.79 | valid ppl   328.11
| end of epoch  14 | time: 42.68s | valid loss  5.96 | valid ppl   388.21
| end of epoch  15 | time: 42.66s | valid loss  5.50 | valid ppl   245.79
| end of epoch  16 | time: 42.71s | valid loss  5.49 | valid ppl   241.17
| end of epoch  17 | time: 42.69s | valid loss  5.46 | valid ppl   235.59
| end of epoch  18 | time: 42.72s | valid loss  5.45 | valid ppl   232.33
| end of epoch  19 | time: 42.70s | valid loss  5.44 | valid ppl   230.29
| end of epoch  20 | time: 42.67s | valid loss  5.44 | valid ppl   229.33
| end of epoch  21 | time: 42.68s | valid loss  5.42 | valid ppl   225.21
| end of epoch  22 | time: 42.67s | valid loss  5.41 | valid ppl   223.97
| end of epoch  23 | time: 42.69s | valid loss  5.40 | valid ppl   221.06
| end of epoch  24 | time: 42.70s | valid loss  5.39 | valid ppl   218.58
| end of epoch  25 | time: 42.70s | valid loss  5.40 | valid ppl   221.08
| end of epoch  26 | time: 42.64s | valid loss  5.31 | valid ppl   202.56
| end of epoch  27 | time: 42.70s | valid loss  5.31 | valid ppl   202.86
| end of epoch  28 | time: 42.64s | valid loss  5.29 | valid ppl   197.62
| end of epoch  29 | time: 42.69s | valid loss  5.28 | valid ppl   197.17
| end of epoch  30 | time: 42.71s | valid loss  5.28 | valid ppl   196.84
| end of epoch  31 | time: 42.70s | valid loss  5.28 | valid ppl   196.62
| end of epoch  32 | time: 42.70s | valid loss  5.28 | valid ppl   196.64
| end of epoch  33 | time: 42.68s | valid loss  5.27 | valid ppl   195.14
| end of epoch  34 | time: 42.66s | valid loss  5.27 | valid ppl   194.94
| end of epoch  35 | time: 42.68s | valid loss  5.27 | valid ppl   194.86
| end of epoch  36 | time: 42.67s | valid loss  5.27 | valid ppl   194.89
| end of epoch  37 | time: 42.65s | valid loss  5.27 | valid ppl   194.64
| end of epoch  38 | time: 42.68s | valid loss  5.27 | valid ppl   194.57
| end of epoch  39 | time: 42.70s | valid loss  5.27 | valid ppl   194.48
| end of epoch  40 | time: 42.66s | valid loss  5.27 | valid ppl   194.47
