| end of epoch   1 | time: 42.62s | valid loss 29.11 | valid ppl 4386471608052.18
| end of epoch   2 | time: 42.41s | valid loss 24.64 | valid ppl 50353703734.70
| end of epoch   3 | time: 42.45s | valid loss 30.51 | valid ppl 17780121529492.85
| end of epoch   4 | time: 42.42s | valid loss 12.71 | valid ppl 331024.41
| end of epoch   5 | time: 42.52s | valid loss  9.92 | valid ppl 20241.58
| end of epoch   6 | time: 42.49s | valid loss  8.87 | valid ppl  7082.45
| end of epoch   7 | time: 42.48s | valid loss  8.38 | valid ppl  4372.55
| end of epoch   8 | time: 42.46s | valid loss 11.59 | valid ppl 107694.75
| end of epoch   9 | time: 42.43s | valid loss  7.17 | valid ppl  1295.66
| end of epoch  10 | time: 42.46s | valid loss  7.15 | valid ppl  1269.00
| end of epoch  11 | time: 42.45s | valid loss  7.11 | valid ppl  1220.76
| end of epoch  12 | time: 42.44s | valid loss  7.12 | valid ppl  1230.53
| end of epoch  13 | time: 42.44s | valid loss  7.01 | valid ppl  1102.59
| end of epoch  14 | time: 42.48s | valid loss  7.00 | valid ppl  1096.18
| end of epoch  15 | time: 42.50s | valid loss  7.00 | valid ppl  1093.01
| end of epoch  16 | time: 42.46s | valid loss  6.99 | valid ppl  1089.23
| end of epoch  17 | time: 42.46s | valid loss  6.99 | valid ppl  1085.04
| end of epoch  18 | time: 42.48s | valid loss  6.99 | valid ppl  1081.67
| end of epoch  19 | time: 42.46s | valid loss  6.98 | valid ppl  1080.29
| end of epoch  20 | time: 42.46s | valid loss  6.98 | valid ppl  1076.34
| end of epoch  21 | time: 42.43s | valid loss  6.98 | valid ppl  1073.57
| end of epoch  22 | time: 42.46s | valid loss  6.98 | valid ppl  1070.59
| end of epoch  23 | time: 42.45s | valid loss  6.97 | valid ppl  1068.07
| end of epoch  24 | time: 42.49s | valid loss  6.97 | valid ppl  1065.92
| end of epoch  25 | time: 42.50s | valid loss  6.97 | valid ppl  1064.42
| end of epoch  26 | time: 42.49s | valid loss  6.97 | valid ppl  1062.42
| end of epoch  27 | time: 42.47s | valid loss  6.97 | valid ppl  1061.93
| end of epoch  28 | time: 42.47s | valid loss  6.97 | valid ppl  1059.56
| end of epoch  29 | time: 42.49s | valid loss  6.96 | valid ppl  1057.91
| end of epoch  30 | time: 42.46s | valid loss  6.96 | valid ppl  1055.85
| end of epoch  31 | time: 42.50s | valid loss  6.96 | valid ppl  1054.67
| end of epoch  32 | time: 42.53s | valid loss  6.96 | valid ppl  1054.20
| end of epoch  33 | time: 42.47s | valid loss  6.96 | valid ppl  1051.42
| end of epoch  34 | time: 42.48s | valid loss  6.96 | valid ppl  1051.49
| end of epoch  35 | time: 42.43s | valid loss  6.94 | valid ppl  1037.16
| end of epoch  36 | time: 42.48s | valid loss  6.94 | valid ppl  1036.61
| end of epoch  37 | time: 42.47s | valid loss  6.94 | valid ppl  1036.15
| end of epoch  38 | time: 42.47s | valid loss  6.94 | valid ppl  1035.78
| end of epoch  39 | time: 42.50s | valid loss  6.94 | valid ppl  1035.64
| end of epoch  40 | time: 42.46s | valid loss  6.94 | valid ppl  1035.06
