| end of epoch   1 | time: 42.71s | valid loss 30.29 | valid ppl 14348211349906.81
| end of epoch   2 | time: 42.42s | valid loss 15.81 | valid ppl 7357138.15
| end of epoch   3 | time: 42.46s | valid loss 40.21 | valid ppl 290353525142756672.00
| end of epoch   4 | time: 42.50s | valid loss  7.93 | valid ppl  2775.45
| end of epoch   5 | time: 42.56s | valid loss  7.56 | valid ppl  1912.72
| end of epoch   6 | time: 42.67s | valid loss  6.86 | valid ppl   953.49
| end of epoch   7 | time: 42.69s | valid loss  6.73 | valid ppl   841.07
| end of epoch   8 | time: 42.68s | valid loss  6.54 | valid ppl   692.36
| end of epoch   9 | time: 42.68s | valid loss  6.26 | valid ppl   525.47
| end of epoch  10 | time: 42.68s | valid loss  6.26 | valid ppl   522.69
| end of epoch  11 | time: 42.69s | valid loss  6.17 | valid ppl   477.43
| end of epoch  12 | time: 42.68s | valid loss  6.09 | valid ppl   441.20
| end of epoch  13 | time: 42.70s | valid loss  6.00 | valid ppl   403.55
| end of epoch  14 | time: 42.68s | valid loss  6.01 | valid ppl   405.64
| end of epoch  15 | time: 42.66s | valid loss  5.61 | valid ppl   272.01
| end of epoch  16 | time: 42.69s | valid loss  5.58 | valid ppl   264.64
| end of epoch  17 | time: 42.71s | valid loss  5.56 | valid ppl   261.05
| end of epoch  18 | time: 42.69s | valid loss  5.55 | valid ppl   256.05
| end of epoch  19 | time: 42.71s | valid loss  5.53 | valid ppl   252.37
| end of epoch  20 | time: 42.71s | valid loss  5.53 | valid ppl   251.41
| end of epoch  21 | time: 42.72s | valid loss  5.50 | valid ppl   245.47
| end of epoch  22 | time: 42.71s | valid loss  5.49 | valid ppl   241.77
| end of epoch  23 | time: 42.71s | valid loss  5.49 | valid ppl   241.17
| end of epoch  24 | time: 42.70s | valid loss  5.47 | valid ppl   238.42
| end of epoch  25 | time: 42.73s | valid loss  5.46 | valid ppl   234.80
| end of epoch  26 | time: 42.71s | valid loss  5.45 | valid ppl   232.77
| end of epoch  27 | time: 42.70s | valid loss  5.44 | valid ppl   230.43
| end of epoch  28 | time: 42.71s | valid loss  5.45 | valid ppl   231.85
| end of epoch  29 | time: 42.70s | valid loss  5.36 | valid ppl   213.74
| end of epoch  30 | time: 42.71s | valid loss  5.37 | valid ppl   213.87
| end of epoch  31 | time: 42.68s | valid loss  5.34 | valid ppl   208.95
| end of epoch  32 | time: 42.71s | valid loss  5.34 | valid ppl   208.49
| end of epoch  33 | time: 42.72s | valid loss  5.34 | valid ppl   208.00
| end of epoch  34 | time: 42.73s | valid loss  5.34 | valid ppl   208.18
| end of epoch  35 | time: 42.72s | valid loss  5.33 | valid ppl   206.40
| end of epoch  36 | time: 42.74s | valid loss  5.33 | valid ppl   206.16
| end of epoch  37 | time: 42.74s | valid loss  5.33 | valid ppl   206.01
| end of epoch  38 | time: 42.73s | valid loss  5.33 | valid ppl   206.18
| end of epoch  39 | time: 42.72s | valid loss  5.32 | valid ppl   205.29
| end of epoch  40 | time: 42.72s | valid loss  5.32 | valid ppl   205.00
